Chart1_SeriesGroup5_label,Chart1_SeriesGroup5__label,Chart1_SeriesGroup5__Value_X,Chart1_SeriesGroup5__Value_Y
Community Health,,Community Health,1940381001.66
Culture & Recreation,,Culture & Recreation,515315131.58
General Administration & Finance,,General Administration & Finance,3231804620.97
General City Responsibilities,,General City Responsibilities,1804041236.33
Human Welfare & Neighborhood Development,,Human Welfare & Neighborhood Development,1529264744.11
Public Protection,,Public Protection,1447091124.00
"Public Works, Transportation & Commerce",,"Public Works, Transportation & Commerce",4991298041.97

Chart1_SeriesGroup2_label,Chart1_SeriesGroup2_Line_Chart_CategoryGroup_label,Chart1_SeriesGroup2_Line_Chart_CategoryGroup_Value_X,Chart1_SeriesGroup2_Line_Chart_CategoryGroup_Value_Y
Community Health,2016,2016,1940381001.66
Culture & Recreation,2016,2016,515315131.58
General Administration & Finance,2016,2016,3231804620.97
General City Responsibilities,2016,2016,1804041236.33
Human Welfare & Neighborhood Development,2016,2016,1529264744.11
Public Protection,2016,2016,1447091124.00
"Public Works, Transportation & Commerce",2016,2016,4991298041.97

Textbox29,Textbox36,Org_Group2,Textbox55,Org_Grand_Total2,CY_Elim3,Net_Total2
Group,"2015-2016
Amount",Community Health,"$1,940,381,002","$15,459,195,901","($2,378,148,128)","$13,081,047,773"
Group,"2015-2016
Amount",Culture & Recreation,"$515,315,132","$15,459,195,901","($2,378,148,128)","$13,081,047,773"
Group,"2015-2016
Amount",General Administration & Finance,"$3,231,804,621","$15,459,195,901","($2,378,148,128)","$13,081,047,773"
Group,"2015-2016
Amount",General City Responsibilities,"$1,804,041,236","$15,459,195,901","($2,378,148,128)","$13,081,047,773"
Group,"2015-2016
Amount",Human Welfare & Neighborhood Development,"$1,529,264,744","$15,459,195,901","($2,378,148,128)","$13,081,047,773"
Group,"2015-2016
Amount",Public Protection,"$1,447,091,124","$15,459,195,901","($2,378,148,128)","$13,081,047,773"
Group,"2015-2016
Amount","Public Works, Transportation & Commerce","$4,991,298,042","$15,459,195,901","($2,378,148,128)","$13,081,047,773"

