ID,Court Number 1,Court Number 2,Court Number 3,Court Number 4,Case Type,Jury Sworn Date,Trial End Date,Co-Defendant,Trial Length Days,Convicted,Concluded,Trial Outcome,Crime Description
1059,17013286,,,,Misdemeanor,2018/03/15,2018/03/23,N,8,Convicted,Concluded,Convicted,DUI
1060,17002954,,,,Felony,2018/03/14,2018/03/23,N,9,Convicted,Concluded,Convicted,Hit and Run
1061,17017526,,,,Felony,2018/03/20,2018/03/28,N,8,Convicted,Concluded,Convicted,Robbery 2nd Degre
1062,17010013,,,,Misdemeanor,2018/03/22,2018/04/02,N,11,Convicted,Concluded,Convicted,DUI
1063,17010592,,,,Misdemeanor,2018/03/28,2018/04/03,N,6,Not Convicted,Not Concluded,Mistrial,Auto Theft
1064,17018938,,,,Felony,2018/03/26,2018/04/03,N,8,Not Convicted,Concluded,Not Convicted,Attempted Homicid
1065,17016386,,,,Felony,2018/03/05,2018/04/05,N,31,Convicted,Concluded,Convicted,Child Solicitatio
1066,12018282,,,,Felony,2018/03/06,2018/04/05,Y,30,Convicted,Concluded,Convicted,Homicide
1067,14002378,,,,Felony,2018/02/06,2018/04/05,N,58,Convicted,Concluded,Convicted,Consumer Fraud
1068,12018288,,,,Felony,2018/03/06,2018/04/05,Y,30,Convicted,Concluded,Convicted,Homicide
1069,17014007,,,,Misdemeanor,2018/04/02,2018/04/06,N,4,Not Convicted,Not Concluded,Mistrial,DUI
